FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.7352e009-ffea-3275-a099-348df1d4bc40,7352e009-ffea-3275-a099-348df1d4bc40,-57.492,-12.971,2021-11-03T16:52:00,AQUA_M-T,BRASNORTE,MATO GROSSO,Brasil,5101902,51,33,,,,Amazônia,POINT (-12.97105 -57.49203)
focos_brasil_ontem_hoje_ref.71796158-a656-3c9b-a0b1-559a3fe8b48b,71796158-a656-3c9b-a0b1-559a3fe8b48b,-51.3959,-11.4997,2021-11-03T16:52:00,AQUA_M-T,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,,,,Amazônia,POINT (-11.4997 -51.39592)
focos_brasil_ontem_hoje_ref.17722b9b-5eb0-325a-ab7f-1b4818e4a617,17722b9b-5eb0-325a-ab7f-1b4818e4a617,-51.5478,-11.3098,2021-11-03T16:52:00,AQUA_M-T,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,,,,Amazônia,POINT (-11.30977 -51.54782)
focos_brasil_ontem_hoje_ref.f0625f30-1ada-3396-a1fa-53cf8805cbb9,f0625f30-1ada-3396-a1fa-53cf8805cbb9,-57.6853,-16.9147,2021-11-02T17:47:00,AQUA_M-T,CÁCERES,MATO GROSSO,Brasil,5102504,51,33,0,0,0.1,Pantanal,POINT (-16.91472 -57.68535)
focos_brasil_ontem_hoje_ref.a97edee2-bbe5-3168-b00f-47a719275089,a97edee2-bbe5-3168-b00f-47a719275089,-57.1371,-16.2236,2021-11-02T17:47:00,AQUA_M-T,CÁCERES,MATO GROSSO,Brasil,5102504,51,33,2,1.7,0.2,Pantanal,POINT (-16.22363 -57.13707)
focos_brasil_ontem_hoje_ref.6e9ecb12-c41e-38ea-bd5b-e09bce27a390,6e9ecb12-c41e-38ea-bd5b-e09bce27a390,-54.1905,-12.8254,2021-11-02T17:47:00,AQUA_M-T,PARANATINGA,MATO GROSSO,Brasil,5106307,51,33,0,2.9,0,Amazônia,POINT (-12.82535 -54.19048)
focos_brasil_ontem_hoje_ref.9cbf852e-20e5-3f09-ba78-2107f72391c6,9cbf852e-20e5-3f09-ba78-2107f72391c6,-57.6622,-16.921,2021-11-02T17:47:00,AQUA_M-T,CÁCERES,MATO GROSSO,Brasil,5102504,51,33,0,0,0.1,Pantanal,POINT (-16.92097 -57.66221)
focos_brasil_ontem_hoje_ref.00dd5190-99d3-3f8e-8f1a-fd049c692ff9,00dd5190-99d3-3f8e-8f1a-fd049c692ff9,-51.3531,-13.9411,2021-11-02T17:47:00,AQUA_M-T,COCALINHO,MATO GROSSO,Brasil,5103106,51,33,0,0.9,0,Cerrado,POINT (-13.94112 -51.35311)
focos_brasil_ontem_hoje_ref.7695f5db-230c-39ef-bf34-a03e04e8ca9a,7695f5db-230c-39ef-bf34-a03e04e8ca9a,-57.673,-16.9227,2021-11-02T17:47:00,AQUA_M-T,CÁCERES,MATO GROSSO,Brasil,5102504,51,33,0,0,0.1,Pantanal,POINT (-16.92265 -57.67296)
focos_brasil_ontem_hoje_ref.efb8a429-7e35-3987-af1a-f887ab54a216,efb8a429-7e35-3987-af1a-f887ab54a216,-57.6713,-16.9322,2021-11-02T17:47:00,AQUA_M-T,CÁCERES,MATO GROSSO,Brasil,5102504,51,33,0,0,0.2,Pantanal,POINT (-16.93224 -57.67132)
focos_brasil_ontem_hoje_ref.4a16d51e-68c9-3c98-8399-7d9abad0beec,4a16d51e-68c9-3c98-8399-7d9abad0beec,-57.1271,-16.2118,2021-11-02T17:47:00,AQUA_M-T,CÁCERES,MATO GROSSO,Brasil,5102504,51,33,2,1.9,0.3,Pantanal,POINT (-16.21182 -57.12714)
focos_brasil_ontem_hoje_ref.76a61b8e-7e5a-3984-93dd-6183dbdd0a3b,76a61b8e-7e5a-3984-93dd-6183dbdd0a3b,-57.6496,-16.9611,2021-11-02T17:47:00,AQUA_M-T,CÁCERES,MATO GROSSO,Brasil,5102504,51,33,0,0,0.3,Pantanal,POINT (-16.96112 -57.64962)
focos_brasil_ontem_hoje_ref.3e6eb337-8893-3e3a-a5ea-2cca5c544621,3e6eb337-8893-3e3a-a5ea-2cca5c544621,-57.4042,-15.2019,2021-11-02T17:47:00,AQUA_M-T,BARRA DO BUGRES,MATO GROSSO,Brasil,5101704,51,33,3,0.1,0.2,Amazônia,POINT (-15.20193 -57.40424)
focos_brasil_ontem_hoje_ref.623be4c3-d3b7-3369-8197-6602a6cb932a,623be4c3-d3b7-3369-8197-6602a6cb932a,-57.4438,-16.9882,2021-11-02T17:47:00,AQUA_M-T,CÁCERES,MATO GROSSO,Brasil,5102504,51,33,0,0,0.2,Pantanal,POINT (-16.98824 -57.44377)
focos_brasil_ontem_hoje_ref.3d9fe437-1930-328a-8048-819e32729de6,3d9fe437-1930-328a-8048-819e32729de6,-57.4548,-16.99,2021-11-02T17:47:00,AQUA_M-T,CÁCERES,MATO GROSSO,Brasil,5102504,51,33,0,0,0.2,Pantanal,POINT (-16.98996 -57.45477)
